ID,Marca,Modelo,Ano,Concessionaria_Preenchida,Preco
698378f72692baed35a8c74a,TOYOTA,COROLLA CROSS XRX AUT. HYBRID,26/26,TOYOTA COLLECTION,219900
6a0c6d889b3c3898545c17f0,Fiat,FASTBACK AUDACE AUT. HYBRID,25/26,FIAT SALOMAO,141400
6a0c6d899b3c3898545c17f1,Fiat,FASTBACK AUDACE AUT. HYBRID,25/26,FIAT SALOMAO,141400
6a0c6d8a9b3c3898545c17f3,Fiat,FASTBACK AUDACE AUT. HYBRID,26/26,FIAT SALOMAO,144200
6a0c6d8a9b3c3898545c17f4,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT SALOMAO,154350
6a0c6d8b9b3c3898545c17f5,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT SALOMAO,153950
6a0c6d8c9b3c3898545c17f6,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT SALOMAO,153000
6a0c6d8c9b3c3898545c17f7,Fiat,FASTBACK LIMITED AUT.,25/26,FIAT SALOMAO,152600
6a0c6d8d9b3c3898545c17f8,Fiat,FASTBACK LIMITED AUT.,26/26,FIAT SALOMAO,158950
6a0c6d8d9b3c3898545c17f9,Fiat,FASTBACK LIMITED AUT.,26/26,FIAT SALOMAO,166200
6a0c6d969b3c3898545c1809,Fiat,STRADA RANCH CD AUT.,26/27,FIAT SALOMAO,137800
6a0c6d969b3c3898545c180a,Fiat,STRADA RANCH CD AUT.,26/27,FIAT SALOMAO,138900
6a0c6d979b3c3898545c180b,Fiat,STRADA RANCH CD AUT.,26/26,FIAT SALOMAO,135990
6a0c6d979b3c3898545c180c,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT SALOMAO,134650
6a0c6d989b3c3898545c180d,Fiat,STRADA ULTRA CD AUT.,25/26,FIAT SALOMAO,134000
6a0c6d989b3c3898545c180e,Fiat,STRADA ULTRA CD AUT.,25/26,FIAT SALOMAO,134000
6a0c6d999b3c3898545c180f,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT SALOMAO,135800
6a0c6d999b3c3898545c1810,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT SALOMAO,133700
6a0c6d9c9b3c3898545c1815,Fiat,TORO ENDURANCE 1.3 AUT.,26/26,FIAT SALOMAO,144000
6a0c6d9c9b3c3898545c1816,Fiat,TORO FREEDOM 1.3 AUT.,26/26,FIAT SALOMAO,153500
6a0c6d9e9b3c3898545c1819,Fiat,TORO ULTRA 1.3 AUT.,26/26,FIAT SALOMAO,179300
6a0c6d9e9b3c3898545c181a,Fiat,TORO ULTRA 1.3 AUT.,26/26,FIAT SALOMAO,179300
6a0c6d9f9b3c3898545c181b,Fiat,TORO ULTRA 1.3 AUT.,26/26,FIAT SALOMAO,179300
6a0c6d9f9b3c3898545c181c,Fiat,TORO VOLCANO 1.3 AUT.,26/26,FIAT SALOMAO,175300
6a0c6da09b3c3898545c181d,Fiat,TORO VOLCANO 1.3 AUT.,26/26,FIAT SALOMAO,169500
6a0c6da09b3c3898545c181e,Fiat,TORO VOLCANO 1.3 AUT.,26/26,FIAT SALOMAO,172990
6a0c6dc49b3c3898545c182b,Fiat,FASTBACK AUDACE AUT. HYBRID,25/26,FIAT SALOMAO,141400
6a0c6dc58de2cfa417086933,Fiat,FASTBACK AUDACE AUT. HYBRID,26/26,FIAT SALOMAO,144200
6a0c6dc63d35b4ed460e8068,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT SALOMAO,154350
6a0c6dc63d35b4ed460e8069,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT SALOMAO,153950
6a0c6dc73d35b4ed460e806a,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT SALOMAO,153000
6a0c6dc762ccbfb3c2a6ecda,Fiat,FASTBACK LIMITED AUT.,25/26,FIAT SALOMAO,152600
6a0c6dc862ccbfb3c2a6ecdb,Fiat,FASTBACK LIMITED AUT.,26/26,FIAT SALOMAO,158950
6a0c6dc862ccbfb3c2a6ecdc,Fiat,FASTBACK LIMITED AUT.,26/26,FIAT SALOMAO,166200
6a0c6dd23d35b4ed460e8075,Fiat,STRADA RANCH CD AUT.,26/27,FIAT SALOMAO,137800
6a0c6dd23d35b4ed460e8076,Fiat,STRADA RANCH CD AUT.,26/27,FIAT SALOMAO,138900
6a0c6dd33d35b4ed460e8077,Fiat,STRADA RANCH CD AUT.,26/26,FIAT SALOMAO,135990
6a0c6dd33d35b4ed460e8078,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT SALOMAO,134650
6a0c6dd43d35b4ed460e8079,Fiat,STRADA ULTRA CD AUT.,25/26,FIAT SALOMAO,134000
6a0c6dd43d35b4ed460e807a,Fiat,STRADA ULTRA CD AUT.,25/26,FIAT SALOMAO,134000
6a0c6dd53d35b4ed460e807b,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT SALOMAO,135800
6a0c6dd58de2cfa417086934,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT SALOMAO,133700
6a0c6dd83d35b4ed460e807e,Fiat,TORO ENDURANCE 1.3 AUT.,26/26,FIAT SALOMAO,144000
6a0c6dd83d35b4ed460e807f,Fiat,TORO FREEDOM 1.3 AUT.,26/26,FIAT SALOMAO,153500
6a0c6dda8de2cfa417086937,Fiat,TORO ULTRA 1.3 AUT.,26/26,FIAT SALOMAO,179300
6a0c6ddb8de2cfa41708693a,Fiat,TORO VOLCANO 1.3 AUT.,26/26,FIAT SALOMAO,175300
6a0c6ddc8de2cfa41708693b,Fiat,TORO VOLCANO 1.3 AUT.,26/26,FIAT SALOMAO,169500
6a0c6ddc8de2cfa41708693c,Fiat,TORO VOLCANO 1.3 AUT.,26/26,FIAT SALOMAO,172990
6a1601b7663ad25e671fb6bb,Hyundai,CRETA PLATINUM TB AUT.,26/27,HYUNDAI NISA,172500
6a1601f5663ad25e671fb6bc,Hyundai,CRETA PLATINUM TB AUT.,26/27,HYUNDAI NISA,172500
6a1d86b099d1d4da28bea6cd,RAM,RAM 3500 LARAMIE NIGHT EDITION DIE AUT.,26/26,JEEP EAGLE,619990
6a1d86b099d1d4da28bea6ce,RAM,RAM 3500 LARAMIE NIGHT EDITION DIE AUT.,26/26,JEEP EAGLE,559990
6a1d86b199d1d4da28bea6cf,RAM,RAM DAKOTA LARAMIE AWD DIE AUT.,26/26,JEEP EAGLE,324990
6a1d86b199d1d4da28bea6d0,RAM,RAM DAKOTA WARLOCK AWD DIE AUT.,26/26,JEEP EAGLE,299990
6a1d86b299d1d4da28bea6d1,RAM,RAM DAKOTA WARLOCK AWD DIE AUT.,26/26,JEEP EAGLE,301990
6a1d86b299d1d4da28bea6d2,RAM,RAM DAKOTA WARLOCK AWD DIE AUT.,26/26,JEEP EAGLE,301990
6a1d86b399d1d4da28bea6d3,RAM,RAM DAKOTA WARLOCK AWD DIE AUT.,26/26,JEEP EAGLE,299990
6a1d86b399d1d4da28bea6d4,RAM,RAMPAGE BIG HORN DIE AUT.,26/27,JEEP EAGLE,213787.91
6a1d86b499d1d4da28bea6d5,RAM,RAMPAGE BIG HORN DIE AUT.,26/27,JEEP EAGLE,213787.91
6a1d86b499d1d4da28bea6d6,RAM,RAMPAGE LARAMIE AUT. FLEX,26/27,JEEP EAGLE,266990
6a1d86b599d1d4da28bea6d7,RAM,RAMPAGE LARAMIE AUT. FLEX,26/27,JEEP EAGLE,261990
6a1d86b599d1d4da28bea6d8,RAM,RAMPAGE LARAMIE DIE AUT.,26/27,JEEP EAGLE,276990
6a1d86b699d1d4da28bea6d9,RAM,RAMPAGE LARAMIE DIE AUT.,26/27,JEEP EAGLE,271990
6a1d86b699d1d4da28bea6da,RAM,RAMPAGE LARAMIE DIE AUT.,26/26,JEEP EAGLE,269990
6a1d86b799d1d4da28bea6db,RAM,RAMPAGE LARAMIE DIE AUT.,26/27,JEEP EAGLE,271990
6a1d86b799d1d4da28bea6dc,RAM,RAMPAGE R/T AUT.,26/27,JEEP EAGLE,277990
6a1d86b899d1d4da28bea6dd,RAM,RAMPAGE R/T AUT.,26/27,JEEP EAGLE,277990
6a1d86b899d1d4da28bea6de,RAM,RAMPAGE REBEL DIE AUT.,26/27,JEEP EAGLE,265990
6a1d86b999d1d4da28bea6df,RAM,RAMPAGE REBEL DIE AUT.,26/27,JEEP EAGLE,267990
6a1f110dc87717f597649eff,Honda,HRV TOURING 1.5 AUT.,26/26,HONDA NIPONSUL - RODRIGO,209900
6a397feab2bfe26c6dafccf4,Hyundai,NOVO I20 LIMITED MEC.,26/27,HYUNDAI NISA,106690
6a39807375de033c88182952,Hyundai,NOVO I20 LIMITED MEC.,26/27,HYUNDAI NISA,106690
6a39815175de033c88182954,Hyundai,NOVO I20 PLATINUM 1.0 TGDI AUT.,26/27,HYUNDAI NISA,136690
6a3981dc75de033c88182957,Hyundai,NOVO I20 ULTIMATE 1.0 TGDI AUT.,26/27,HYUNDAI NISA,141690
6a3e7bfdd6b7db0ae0619b97,Fiat,MOBI LIKE 1.0 MEC.,26/27,FIAT AUFI - HAROLDO,73190
6a3e7bfdd6b7db0ae0619b98,Fiat,CRONOS PRECISION 1.3 AUT.,26/27,FIAT AUFI - HAROLDO,115900
6a3e7bfeae8f9a0eefc4f977,Fiat,CRONOS DRIVE 1.0 MEC.,26/26,FIAT AUFI - HAROLDO,99900
6a3e7bff301709ec65633a97,Fiat,ARGO DRIVE 1.3 AUT.,26/26,FIAT AUFI - HAROLDO,95900
6a3e7bffae8f9a0eefc4f978,Fiat,PULSE DRIVE 1.3 MEC.,26/26,FIAT AUFI - HAROLDO,96000
6a3e7c00301709ec65633a98,Fiat,PULSE DRIVE 1.3 AUT.,26/26,FIAT AUFI - HAROLDO,105900
6a3e7c01ae8f9a0eefc4f979,Fiat,PULSE DRIVE 1.3 AUT.,26/26,FIAT AUFI - HAROLDO,105000
6a3e7c01301709ec65633a99,Fiat,PULSE ABARTH AUT.,26/26,FIAT AUFI - HAROLDO,148300
6a3e7c02301709ec65633a9a,Fiat,FASTBACK T200 AUT.,26/26,FIAT AUFI - HAROLDO,109900
6a3e7c02301709ec65633a9b,Fiat,FASTBACK T200 AUT.,26/26,FIAT AUFI - HAROLDO,115900
6a3e7c03301709ec65633a9c,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT AUFI - HAROLDO,136990
6a3e7c03301709ec65633a9d,Fiat,FASTBACK IMPETUS AUT. HYBRID,26/26,FIAT AUFI - HAROLDO,140990
6a3e7c04301709ec65633a9e,Fiat,FASTBACK LIMITED AUT.,26/26,FIAT AUFI - HAROLDO,167500
6a3e7c04d6b7db0ae0619b99,Fiat,STRADA ENDURANCE CP MEC.,26/27,FIAT AUFI - HAROLDO,91900
6a3e7c05301709ec65633a9f,Fiat,STRADA ENDURANCE CP MEC.,26/26,FIAT AUFI - HAROLDO,90900
6a3e7c05301709ec65633aa0,Fiat,STRADA ULTRA CD AUT.,26/26,FIAT AUFI - HAROLDO,136500
6a3e7c06d6b7db0ae0619b9a,Fiat,STRADA ULTRA CD AUT.,26/27,FIAT AUFI - HAROLDO,138900
6a3e7c06301709ec65633aa1,Fiat,STRADA VOLCANO CD AUT.,26/26,FIAT AUFI - HAROLDO,128900
6a3e7c07d6b7db0ae0619b9b,Fiat,STRADA RANCH CD AUT.,26/26,FIAT AUFI - HAROLDO,137500
6a3e7c07301709ec65633aa2,Fiat,TORO FREEDOM 1.3 AUT.,26/27,FIAT AUFI - HAROLDO,159900
6a3e7c08301709ec65633aa3,Fiat,TORO VOLCANO 1.3 AUT.,26/27,FIAT AUFI - HAROLDO,178900
6a3e7c08301709ec65633aa4,Fiat,TORO FREEDOM 1.3 AUT.,26/27,FIAT AUFI - HAROLDO,158900
6a3e7c09d6b7db0ae0619b9c,Fiat,TITANO VOLCANO AWD DIE AUT.,25/26,FIAT AUFI - HAROLDO,216900
