ID,Modelo,Ano,Concessionaria,Preco,Combustivel,Cor
69de4f4b8dec1c5ed975c697,VOLVO EX30 E40 CORE (ELETRICO),26/26,GRUPO ANDRETTA,231551.75,Elétrico,BRANCO
69de85917f5295a00b6156de,ONIX HATCH LT TURBO AT (RFO),25/26,CHEVROLET PEDRAGON,106990,Flex,BRANCO
69de8c82a13fc6fa346e291c,ONIX HATCH LTZ TURBO AT (RGL),25/26,GM GRANDE MINAS - LUCIANA,110000,Flex,BRANCO SUMMIT
69dea2990b1130e8d5c8512c,ONIX HATCH LT TURBO AT (RFO),26/26,GRUPO DAHRUJ,111300,Flex,PRETO
69dea9835591deee93e65871,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GEELY DRSUL - BETO,121943,Elétrico,BRANCO
69dea9b913a4fa01db5f5f7a,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GEELY DRSUL - BETO,121943,Elétrico,CINZA
69dea9e05591deee93e65872,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GEELY DRSUL - BETO,121943,Elétrico,PRATA
69deaa2d13a4fa01db5f5f7c,GEELY EX2 PRÓ SIP 95CV (ELETRICO),26/26,GEELY DRSUL - BETO,121943,Elétrico,VERDE
69dfa748e2a55b3243582d1c,MUSTANG MACH-E GT PERFORMANCE AUT. (ELETRICO),24/24,FORD BRASAUTO - MARCIO.IPA,486000,Elétrico,PRETO
69dfd16d48a454e5a2890879,ONIX HATCH AT TURBO (R7K),26/26,GM AUTUS - ROBSON.AUTUS,108000,Flex,PRETO OURO NEGRO
69e0f7e573aae9bfe4f061b5,DOLPHIN MINI GS (ELETRICO),26/27,BYD CARBEL,118000,Elétrico,PRETO
69fa154898aa7924b984dc7b,DOLPHIN MINI GS (ELETRICO),26/27,BYD SAGA - ROBSON.SAGA,116500,Elétrico,DIVERSAS
69fa15d155129d33a66cec5b,DOLPHIN MINI GS (ELETRICO),26/27,BYD SAGA - NETO,117990,Elétrico,AZUL
69fa1884ca87092a11bf98e3,DOLPHIN MINI GS (ELETRICO),26/27,BYD SAGA - MONICA,118000,Elétrico,BRANCO
69fa1ad8c01e01c43b3045cd,DOLPHIN MINI GS (ELETRICO),26/27,BYD STEFANI,119990,Elétrico,BRANCO
69fa1b707eec86411e081920,DOLPHIN MINI GS (ELETRICO),26/27,BYD UNIC,117900,Elétrico,BRANCO
69fa33c494207e867cd7d175,SPIN PREMIER AT (R6S),25/26,GM AUTUS - ROBSON.AUTUS,150000,Flex,BRANCO
69fb81ddca9e9c8085acd97d,DOLPHIN MINI GS (ELETRICO),26/27,BYD BALI,117000,Elétrico,BRANCO
69fba1b45e9140e0b5eed8c6,ONIX SEDAN PLUS ASPIRADO MT (R8A),26/26,GM JORLAN - SABRINA.BRA,95990,Flex,AZUL BOREAL
69fba1b45e9140e0b5eed8c7,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM JORLAN - SABRINA.BRA,125990,Flex,PRATA SHARK
69fba1b55e9140e0b5eed8c8,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM JORLAN - SABRINA.BRA,125990,Flex,BRANCO SUMMIT
69fba1b65e9140e0b5eed8c9,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM JORLAN - SABRINA.BRA,125990,Flex,CINZA DRAKE
69fba1b75e9140e0b5eed8ca,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM JORLAN - SABRINA.BRA,125990,Flex,AZUL BOREAL
69fba1b85e9140e0b5eed8cb,ONIX SEDAN PLUS PREMIER TURBO AT (R8R),26/26,GM JORLAN - SABRINA.BRA,125990,Flex,PRETO OURO NEGRO
69fba1b95e9140e0b5eed8cc,ONIX HATCH MT ASPIRADO (R7J),26/26,GM JORLAN - SABRINA.BRA,86990,Flex,BRANCO SUMMIT
69fba1b95e9140e0b5eed8cd,ONIX HATCH MT ASPIRADO (R7J),26/26,GM JORLAN - SABRINA.BRA,86990,Flex,PRATA SHARK
69fba1ba5e9140e0b5eed8ce,ONIX HATCH MT ASPIRADO (R7J),26/26,GM JORLAN - SABRINA.BRA,86990,Flex,PRETO OURO NEGRO
69fba1ba5e9140e0b5eed8cf,ONIX HATCH MT ASPIRADO (R7J),26/26,GM JORLAN - SABRINA.BRA,86990,Flex,VERMELHO SCARLET
69fba1bb5e9140e0b5eed8d0,ONIX HATCH MT ASPIRADO (R7J),26/26,GM JORLAN - SABRINA.BRA,86990,Flex,AZUL BOREAL
69fba1bc5e9140e0b5eed8d1,ONIX HATCH MT ASPIRADO (R7J),26/26,GM JORLAN - SABRINA.BRA,86990,Flex,CINZA DRAKE
69fba1bc5e9140e0b5eed8d2,ONIX HATCH LT TURBO AT (RFO),26/26,GM JORLAN - SABRINA.BRA,109990,Flex,PRATA
69fba1bd5e9140e0b5eed8d3,ONIX SEDAN PLUS LTZ TURBO AT (PRB),26/26,GM JORLAN - SABRINA.BRA,121990,Flex,PRATA SHARK
69fba1bd5e9140e0b5eed8d4,ONIX SEDAN PLUS LTZ TURBO AT (PRB),26/26,GM JORLAN - SABRINA.BRA,121990,Flex,AZUL BOREAL
69fba1be5e9140e0b5eed8d5,ONIX SEDAN PLUS LT TURBO AT (R8H),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,BRANCO
69fba1be5e9140e0b5eed8d6,ONIX SEDAN PLUS LT TURBO AT (R8H),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,PRATA
69fba1bf5e9140e0b5eed8d7,ONIX SEDAN PLUS LT TURBO AT (R8H),26/26,GM JORLAN - SABRINA.BRA,114990,Flex,AZUL
69fba1bf5e9140e0b5eed8d8,SPARK EUV ACTIV (PEA),26/26,GM JORLAN - SABRINA.BRA,144990,Elétrico,BRANCO CUPUAÇU
69fba1c05e9140e0b5eed8d9,SPARK EUV ACTIV (PEA),26/26,GM JORLAN - SABRINA.BRA,144990,Elétrico,PRETO RIO NEGRO
69fba1c05e9140e0b5eed8da,SPARK EUV ACTIV (PEA),26/26,GM JORLAN - SABRINA.BRA,144990,Elétrico,AZUL ATLÂNTICO
69fba1c45e9140e0b5eed8e1,TRACKER PRO TURBO AT (RFB),25/26,GM JORLAN - SABRINA.BRA,123990,Flex,BRANCO SUMMIT
69fba1c45e9140e0b5eed8e2,TRACKER PRO TURBO AT (RFB),25/26,GM JORLAN - SABRINA.BRA,123990,Flex,CINZA RUSH
69fba1c55e9140e0b5eed8e3,TRACKER PRO TURBO AT (RFB),25/26,GM JORLAN - SABRINA.BRA,123990,Flex,AZUL BOREAL
69fba1c65e9140e0b5eed8e4,TRACKER LT TURBO AT (R8D),25/26,GM JORLAN - SABRINA.BRA,124990,Flex,PRETO
69fba1c65e9140e0b5eed8e5,TRACKER LT TURBO AT (R8D),25/26,GM JORLAN - SABRINA.BRA,124990,Flex,VERMELHO
69fba1c75e9140e0b5eed8e6,TRACKER LT TURBO AT (R8D),26/26,GM JORLAN - SABRINA.BRA,136990,Flex,BRANCO SUMMIT
69fba1c75e9140e0b5eed8e7,TRACKER LT TURBO AT (R8D),26/26,GM JORLAN - SABRINA.BRA,136990,Flex,PRATA SHARK
69fba1c85e9140e0b5eed8e8,TRACKER LT TURBO AT (R8D),26/26,GM JORLAN - SABRINA.BRA,136990,Flex,CINZA RUSH
69fba1c85e9140e0b5eed8e9,TRACKER LT TURBO AT (R8D),26/26,GM JORLAN - SABRINA.BRA,136990,Flex,AZUL BOREAL
69fba1c95e9140e0b5eed8ea,TRACKER LT TURBO AT (R8D),26/26,GM JORLAN - SABRINA.BRA,136990,Flex,PRETO OURO NEGRO
69fba1c95e9140e0b5eed8eb,MONTANA LTZ AT (RFD),26/26,GM JORLAN - SABRINA.BRA,145990,Flex,PRATA SHARK
69fba1ca5e9140e0b5eed8ec,MONTANA LTZ AT (RFD),26/26,GM JORLAN - SABRINA.BRA,145990,Flex,CINZA RUSH
69fba1ca5e9140e0b5eed8ed,MONTANA PREMIER AT (RFE),26/26,GM JORLAN - SABRINA.BRA,156990,Flex,AZUL BOREAL
69fba1ce5e9140e0b5eed8f5,TRAILBLAZER HIGHCOUNTRY AT (R6A),25/26,GM JORLAN - SABRINA.BRA,376990,Diesel,PRATA SHARK
69fba1cf5e9140e0b5eed8f6,SPIN LTZ AT (R7S),25/26,GM JORLAN - SABRINA.BRA,142990,Flex,BRANCO SUMMIT
69fba1cf5e9140e0b5eed8f7,SPIN LTZ AT (R7S),26/26,GM JORLAN - SABRINA.BRA,145990,Flex,BRANCO SUMMIT
69fba1d05e9140e0b5eed8f8,SPIN LTZ AT (R7S),26/26,GM JORLAN - SABRINA.BRA,145990,Flex,CINZA RUSH
69fba1d05e9140e0b5eed8f9,SPIN PREMIER AT (R7G),26/26,GM JORLAN - SABRINA.BRA,154990,Flex,BRANCO SUMMIT
69fba1d15e9140e0b5eed8fa,SPIN PREMIER AT (R7G),26/26,GM JORLAN - SABRINA.BRA,154990,Flex,PRATA SHARK
69fba1d15e9140e0b5eed8fb,SPIN PREMIER AT (R7G),26/26,GM JORLAN - SABRINA.BRA,154990,Flex,CINZA RUSH
69fba1d25e9140e0b5eed8fc,TRACKER LTZ TURBO AT (R8F),26/26,GM JORLAN - SABRINA.BRA,148990,Flex,VERMELHO SCARLET
69fba1d25e9140e0b5eed8fd,TRACKER LTZ TURBO AT (R8F),26/26,GM JORLAN - SABRINA.BRA,148990,Flex,BRANCO SUMMIT
69fba1d45e9140e0b5eed900,EQUINOX RS AT (PEH),25/26,GM JORLAN - SABRINA.BRA,269990,Gasolina,PRATA SHARK
69fba1d55e9140e0b5eed901,EQUINOX RS AT (PEH),25/26,GM JORLAN - SABRINA.BRA,269990,Gasolina,BRANCO QUARTZO
69fba1d55e9140e0b5eed902,EQUINOX ACTIV AT (PEE),26/26,GM JORLAN - SABRINA.BRA,274990,Gasolina,PRETO OURO NEGRO
69fba1d65e9140e0b5eed904,EQUINOX ACTIV AT (PEE),26/26,GM JORLAN - SABRINA.BRA,274990,Gasolina,VERDE CACTI
69fcdae4602ce490039881fb,HAN EV (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,526305,Elétrico,AZUL
69fcdae5602ce490039881fc,HAN EV (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,545805,Elétrico,BRANCO
69fcdae5602ce490039881fd,HAN EV (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,545805,Elétrico,CINZA
69fcdae6602ce490039881fe,HAN EV (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,545805,Elétrico,PRETO
69fcdae6602ce490039881ff,TAN EV AWD (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,416130,Elétrico,BRANCO
69fcdae7602ce49003988200,TAN EV AWD (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,416130,Elétrico,CINZA
69fcdae7602ce49003988201,TAN EV AWD (ELETRICO),24/25,GRUPO CARBEL - THIAGO.CARBEL,416130,Elétrico,PRETO
69fe1ead575b3e09970f497a,DOLPHIN MINI GS (ELETRICO),26/27,BYD PARVI,119990,Elétrico,AZUL
6a05d893f1c0a75e427a8367,ONIX HATCH RS TURBO AT (RGN),25/26,GM BREGAMAR - BARP.BREGAMAR,125800,Flex,BRANCO SUMMIT
6a0ccd68f42e1bfee28dbcba,MONTANA PREMIER AT (RFE),26/26,GM SANTA CLARA - RONALDO.CLARA,162990,Flex,BRANCO SUMMIT
6a0ccd6af42e1bfee28dbcbd,MONTANA PREMIER AT (RFE),26/26,GM SANTA CLARA - RONALDO.CLARA,162990,Flex,CINZA RUSH
